,job_titel,company_name,Loction,salery,other_role
687,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹35,000",Full time  No test required  Freshers only
688,Telesales Executive,Smartfusion Corporate Solutions Private Limited,T. Nagar,"₹18,000 - ₹27,000",Full time  No test required  Freshers only
689,Food Delivery Biker,Zomato,Eklavya Colony,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
690,Food Delivery Biker,Zomato,Allengunj,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
691,Back Office Staff,Academy Forces,Borivali Phatak (E),"₹15,000 - ₹28,000",Full time  No test required  Freshers only
692,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹35,000",Full time  No test required  Freshers only
693,Systems Engineer,CloverBridge Technologies,Aalathur IE,"₹18,000 - ₹28,000",Part time  No test required  Freshers only
694,Food Delivery Biker,Zomato,Sarvoday Nagar,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
695,Food Delivery Biker,Zomato,Chitkohra,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
696,Sales & Marketing Executive,Sky Automobiles,NH-5,"₹15,000 - ₹25,000",Full time  No test required  Freshers only
697,Back Office Staff,Bharti Axa Life Insurance,Dharmatala,"₹20,000 - ₹30,000",Full time  No test required  Freshers only
698,Data Entry Operator,Ritu Security And Manpower Services Private Limited,Railway Corner,"₹12,000 - ₹28,000",Part time  No test required  Freshers only
699,Education Counsellor,Edutancy Consultancy Services (Opc) Private Limited,Cunningham Road,"₹15,000 - ₹25,000",Full time  No test required  Freshers only
700,Food Delivery Biker,Zomato,Kishanpura,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
701,Cook / Chef,Tealogy Cafe Private Limited,Gangapuram Mhada,"₹20,000 - ₹30,000",Full time  No test required  Freshers only
702,Food Delivery Biker,Zomato,Anand Dhara Society Mota Varachha,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
703,Customer Care Executive,Ion Exacense,JP Nagar,"₹15,000 - ₹30,000",Full time  No test required  Freshers only
704,Recruitment Executive,Square Yards,Richmond Circle,"₹18,000 - ₹29,000",Full time  No test required  Freshers only
705,Delivery Boy Biker,First Finanace Service,Thane,"₹18,000 - ₹35,000",Full time  No test required  Freshers only
706,Customer Care Executive,Bharti Axa Life Insurance,Shyambazar,"₹20,000 - ₹45,000",Part time  No test required  Freshers only
707,Receptionist / Front Office Executive,Akcent Healthcare India,Peera Garhi,"₹22,000 - ₹25,000",Full time  No test required  Freshers only
708,Business Development Executive (BDE),Byjus,V. O. C. Nagar,"₹21,000 - ₹31,000",Full time  No test required  Freshers only
709,Subject Matter Expert,Flexus Soft Services,Chennai (Work from home),"₹20,000 - ₹25,000",Part time  No test required  Freshers only
710,Delivery Boy Biker,Sun Raising Services Private Limited,Jakkur,"₹20,000 - ₹30,000",Part time  No test required  Freshers only
711,Digital Marketing Executive,Ekta Enterprises,Ahmedabad (Work from home),"₹15,000 - ₹25,000",Part time  No test required  Freshers only
712,Food Delivery Biker,Zomato,Eklavya Colony,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
713,Food Delivery Biker,Zomato,Allengunj,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
714,Marketing Executive,Pamosa International Marketing Private Limited,Dadar,"₹18,000 - ₹27,000",Part time  No test required  Freshers only
