,job_titel,company_name,Loction,salery,other_role
1428,Production Operator,SHINE GROUP,Peenya 14th Cross,"₹15,000 - ₹18,000",Full time  No test required  Freshers only
1429,Receptionist / Front Office Executive,Hyderabad Reclaim,Baruipur,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
1430,BPO Telecaller,VITT Management Services,Sona Industries Premises,"₹12,000 - ₹23,000",Full time  No test required  Freshers only
1431,Makeup Artist,Manihar Film Production,Andheri Station (W),"₹14,000 - ₹18,000",Full time  No test required  Freshers only
1432,Field Support Engineer,Telecomone Teleservices India Private Limited,Edappal,"₹17,800 - ₹17,831",Full time  No test required  Freshers only
1433,Telemarketing Executive,P & M Relationship Management Private Limited,Peera Garhi,"₹13,200 - ₹27,666",Full time  No test required  Freshers only
1434,Telesales Executive,Mervice Infotech Private Limited,Venkatapura Gate,"₹12,000 - ₹47,500",Full time  No test required  Freshers only
1435,Telecollection Executive,Neev Credit,Wilson Garden Police Station,"₹15,000 - ₹17,500",Full time  No test required  Freshers only
1436,Business Development Executive,Akshita Enterprises,Aligarh (Work from home),"₹14,800 - ₹17,500",Part time  No test required  Freshers only
1437,Back Office Staff,Scorpion Hub,Kanpur (Work from home),"₹12,500 - ₹20,500",Part time  No test required  Freshers only
1438,Back Office Executive,Prime Services Pvt Ltd,Borivali East,"₹15,800 - ₹17,400",Full time  No test required  Freshers only
1439,Inside Sales Representative,For Ur Service,Banasavadi,"₹16,000 - ₹22,200",Full time  No test required  Freshers only
1440,Digital Marketing Executive,Sarah Enterprise,Surat (Work from home),"₹13,300 - ₹19,000",Part time  No test required  Freshers only
1441,Customer Support Executive,Sunshine Manpower Solutions,Mg Road Anil Kumble Circle,"₹14,500 - ₹19,200",Full time  No test required  Freshers only
1442,Picker / Packer,Kutumbh HR Care,Mukai Chowk,"₹13,780 - ₹19,091",Full time  No test required  Freshers only
1443,Network Technician,Atebyte Technologies Llp,Koyampattur,"₹9,000 - ₹17,000",Full time  No test required  Freshers only
1444,Field Technician,Atebyte Technologies Llp,Bahoor,"₹9,000 - ₹17,000",Full time  No test required  Freshers only
1445,Field Technician,Atebyte Technologies Llp,Perambur,"₹9,000 - ₹17,000",Full time  No test required  Freshers only
1446,HR Recruiter,High Source HR Solutions Private Limited,Bommanahalli,"₹13,000 - ₹17,000",Full time  No test required  Freshers only
1447,International BPO Executive,Pemlix Technology Solutions Private Limited,Taratala,"₹8,000 - ₹18,000",Full time  No test required  Freshers only
1448,Field Technician,Atebyte Technologies Llp,Gummidipoondi,"₹9,000 - ₹17,000",Full time  No test required  Freshers only
1449,Telesales Executive,For Ur Service,Hebbala,"₹16,000 - ₹22,000",Full time  No test required  Freshers only
1450,Technical Support Executive,Wovven Technologies,SHIV MANDIR,"₹15,000 - ₹17,000",Full time  No test required  Freshers only
1451,Business Development Executive,Itplus Training Institute Private Limited,RSB,"₹12,000 - ₹22,000",Full time  No test required  Freshers only
1452,Telemarketing Executive,Shivant Hr Consultancy,Navi Mumbai,"₹14,000 - ₹42,000",Full time  No test required  Freshers only
1453,Audit Executive,Vak Reports,Dakshina Kannada District,"₹12,000 - ₹22,000",Full time  No test required  Freshers only
1454,Trainee,Accord212 Human Resource Solutions Private Limited,Madapatna,"₹16,000 - ₹17,000",Full time  No test required  Freshers only
1455,Delivery Boy Biker,Delhivery,Lucknow,"₹13,000 - ₹19,000",Full time  No test required  Freshers only
1456,Delivery Boy Biker,Delhivery,Lucknow,"₹13,000 - ₹19,000",Full time  No test required  Freshers only
1457,Telecaller Outbound,India Infoline Brokers,Passport Office (SG Barve Rd),"₹12,500 - ₹18,000",Full time  No test required  Freshers only
1458,Trainee,Accord212 Human Resource Solutions Private Limited,Madapatna,"₹16,000 - ₹17,000",Full time  No test required  Freshers only
1459,Loader/Unloader,High Source HR Solutions Private Limited,Marathahalli,"₹15,000 - ₹17,000",Full time  No test required  Freshers only
1460,Trainee,Accord212 Human Resource Solutions Private Limited,Madapatna,"₹16,000 - ₹17,000",Full time  No test required  Freshers only
1461,Loan Officer,Kutumbh HR Care,Salwad,"₹15,000 - ₹19,000",Full time  No test required  Freshers only
1462,Telecalling Executive,Mich Biz Services Opc,Koramangala,"₹15,000 - ₹18,000",Full time  No test required  Freshers only
1463,Trainee,Tapull Consultant Pvt Ltd,Chakan,"₹16,000 - ₹17,000",Full time  No test required  Freshers only
1464,Two-Wheeler Loan Sales Executive,For Ur Service,Kalya,"₹16,000 - ₹21,800",Full time  No test required  Freshers only
1465,Store Helper,Munraj Nidhi,Rajkot (Work from home),"₹16,000 - ₹17,000",Full time  No test required  Freshers only
1466,Store Helper,Munraj Nidhi,Rajkot Saurastra,"₹16,000 - ₹17,000",Full time  No test required  Freshers only
1467,Data Entry Operator,Royal Staffing LLP,Palanpur Patiya BRTS,"₹15,000 - ₹17,000",Full time  No test required  Freshers only
1468,Inside Sales Executive,Fairdebt Solutions,HSR Layout,"₹14,000 - ₹19,000",Full time  No test required  Freshers only
1469,Internship Trainee,Muthoot Finance,Gunadala,"₹10,000 - ₹19,000",Full time  No test required  Freshers only
1470,Picker Loader,Innovosource,Anekal,"₹16,000 - ₹17,000",Night shift Full time  No test required  Freshers only
1471,back-end executive,M/s Sakshi Tours and Travels,Andheri,"₹15,000 - ₹17,000",Full time  No test required  Freshers only
1472,Account Executive,Sunshine Manpower Solutions,Venkatapura Gate,"₹15,400 - ₹17,000",Full time  No test required  Freshers only
1473,Telecaller Cum Computer Operator,Aksh Textile,Patna (Work from home),"₹16,000 - ₹17,000",Full time  No test required  Freshers only
1474,Digital Marketing Executive,Airtel payments bank,Anandapuram,"₹14,000 - ₹24,000",Full time  No test required  Freshers only
1475,Business Development Executive (BDE),XLSquare Research Services,Arakere,"₹17,000 - ₹23,000",Full time  No test required  Freshers only
1476,Call Quality Analyst,Coreflex Solutions,Kalyani Nagar,"₹15,000 - ₹17,000",Night shift Full time  No test required  Freshers only
1477,Picker / Packer,highsource hr solution,Bengaluru (Work from home),"₹15,000 - ₹19,000",Full time  No test required  Freshers only
1478,Digital Marketing Executive,Kathara Enterprise,Jamshedpur (Work from home),"₹13,000 - ₹17,000",Part time  No test required  Freshers only
1479,Graduate Engineer Trainee,EGT Eco Green Tech,Koyampattur,"₹15,000 - ₹17,000",Full time  No test required  Freshers only
1480,Telecalling Executive,SPRS Solutions,Gachibowli,"₹15,000 - ₹17,000",Full time  No test required  Freshers only
1481,Voice & Non-Voice Call Center Agent,Vibatel Solutions Pvt Ltd,Trimulgherry,"₹12,000 - ₹22,000",Full time  No test required  Freshers only
1482,Receptionist / Front Office Executive,Dreamz Spa,Mg Road Anil Kumble Circle,"₹15,000 - ₹17,000",Full time  No test required  Freshers only
1483,Telesales Executive,SA Starz Management Consultants,Mg Road Anil Kumble Circle,"₹14,000 - ₹19,600",Full time  No test required  Freshers only
1484,Telesales Executive,SA Starz Management Consultants,Mg Road Anil Kumble Circle,"₹14,000 - ₹19,600",Full time  No test required  Freshers only
1485,Hostel Supervisor/Incharge,AKS Homes Ladied Hostel,Kerala Estate,"₹15,000 - ₹16,500",Full time  No test required  Freshers only
1486,Marketing Executive,Lalchand Ravjibhai,Shantiniketan Vidhyalay,"₹16,000 - ₹16,500",Full time  No test required  Freshers only
1487,Telesales Executive,Paradise Recruitment Consultant,Thane,"₹13,000 - ₹16,500",Full time  No test required  Freshers only
1488,Supervisor/Incharge,AKS Homes Ladied Hostel,Kerala Estate,"₹15,000 - ₹16,500",Full time  No test required  Freshers only
1489,BPO Telecaller,Prime Services Pvt Ltd,Banjara Hills,"₹15,400 - ₹16,500",Part time  No test required  Freshers only
1490,Engineer,Hilda Automation,Rabale,"₹16,000 - ₹16,500",Full time  No test required  Freshers only
1491,Customer Care Executive,SPRS Solutions,Somajiguda,"₹14,500 - ₹16,500",Full time  No test required  Freshers only
1492,Loan Processor,Next-Gen Hr Solutions,Salwad,"₹14,000 - ₹16,500",Full time  No test required  Freshers only
1493,Back End Executive,IProactice Solutions,Vashi,"₹12,300 - ₹21,500",Full time  No test required  Freshers only
1494,Field Worker,Plactive Group,Udhna Dawaja,"₹13,000 - ₹21,500",Full time  No test required  Freshers only
1495,QA / QC Executive,highsource hr solution,Salwad,"₹12,300 - ₹16,000",Full time  No test required  Freshers only
1496,ATM Custodian,Cms Info Systems Limited,Mohan Estate,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1497,Delivery Executive,Kv Human Resources Services Private Limited,Gachibowli,"₹14,000 - ₹20,000",Full time  No test required  Freshers only
1498,Computer Operator cum Office Assistant,Krs Forex Services Private Limited,Netaji Subash Place,"₹15,000 - ₹16,000",Full time  No test required  Freshers only
1499,HR Recruiter,PDR Arts,Tardeo,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1500,CAM Engineer,Anjali T Precision,Chikhali Depot,"₹14,000 - ₹16,000",Full time  No test required  Freshers only
1501,MIS Executive,Square Yards,"Andheri East, MIDC","₹12,000 - ₹16,000",Full time  No test required  Freshers only
1502,Electrical / Electronics Engineer,VRYSM Solutions,Upendra Nagar Colony,"₹15,500 - ₹16,000",Full time  No test required  Freshers only
1503,Client Consultation Executive,BTW Visa Services India,Karve Road Runwal Plaza (Sonal Hall),"₹12,000 - ₹18,000",Full time  No test required  Freshers only
1504,Delivery Boy Biker,Krishco Medical Products Private Limited,T. Nagar,"₹13,000 - ₹16,000",Full time  No test required  Freshers only
1505,Sales Executive,Kwality Mobikes Pvt Ltd,Corporation office,"₹14,000 - ₹21,000",Full time  No test required  Freshers only
1506,Banking Executive,M/s Ixoraa Enterprise,Jalandhar District,"₹15,000 - ₹16,000",Full time  No test required  Freshers only
1507,Customer Care Executive,Ebix Cash Global Services Pvt Ltd,Ghansoli,"₹15,000 - ₹86,000",Full time  No test required  Freshers only
1508,Customer Care Executive,Ebix Cash Global Services Pvt Ltd,Ghansoli,"₹15,000 - ₹86,000",Full time  No test required  Freshers only
1509,CCTV Technician,B M Solutions,Hyderabad,"₹12,500 - ₹16,000",Full time  No test required  Freshers only
1510,Delivery Boy,Staffone Global Services,Pragathi Nagar,"₹15,000 - ₹18,000",Part time  No test required  Freshers only
1511,Customer Relations Officer,Skillstride Consulting Private Limited,Aalathur IE,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1512,Customer Care Executive,Ileads Auxiliary Services,Dalanwala,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1513,Audit Executive,Vak Reports,Pirangut,"₹12,000 - ₹21,000",Full time  No test required  Freshers only
1514,ATM Custodian,Cms Info Systems Limited,Jhandewalan,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1515,Telecaller Outbound,Shlok Consultancy,Khairatabad,"₹10,000 - ₹21,000",Full time  No test required  Freshers only
1516,Business Development Executive (BDE),The IBEX World,Jalandhar District,"₹9,000 - ₹21,000",Full time  No test required  Freshers only
1517,Office Assistant,Mekr Projects,Yelachenahalli,"₹15,000 - ₹16,000",Full time  No test required  Freshers only
1518,ELD Executive,Club Malwa,Sector 75 mohali,"₹12,000 - ₹16,000",Night shift Full time  No test required  Freshers only
1519,Sales Executive,M/s Ixoraa Enterprise,Amankud,"₹15,000 - ₹16,000",Full time  No test required  Freshers only
1520,HR Executive,Press Fit Pipe And Profile,Ambernath,"₹13,000 - ₹16,000",Full time  No test required  Freshers only
1521,Shift Incharge,Greensignal Bio Pharma Private Limited,Gummidipoondi,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1522,Teacher,Rishtoo Academy,Rasila Nagar,"₹14,000 - ₹16,000",Full time  No test required  Freshers only
1523,Telesales Executive,Owo Credits,Noida Sector 15,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
1524,Telecaller,Vsan Infrastructure Pvt.Ltd,Vijaynagar II Stage,"₹10,000 - ₹21,000",Full time  No test required  Freshers only
1525,Telecalling Executive,Machwan Communication and Research,POLICE Post INDRA PURI,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1526,ATM Custodian,Cms Info Systems Limited,Sahibabad,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1527,Telecaller,Vsan Infrastructure Pvt.Ltd,Vijaynagar II Stage,"₹10,000 - ₹21,000",Full time  No test required  Freshers only
1528,Electrical Technician,CIEL HR,Bannerghatta,"₹14,000 - ₹20,000",Full time  No test required  Freshers only
1529,Shop Assistant,Dev Fashion Makers,Pimpri,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1530,International BPO Executive,Nona HR Services,Perungudi,"₹14,700 - ₹16,000",Full time  No test required  Freshers only
1531,Customer Care Executive,Baroda Rojgar,Gorwa,"₹12,500 - ₹17,000",Full time  No test required  Freshers only
1532,Field Executive,Nested Services,Indore,"₹13,500 - ₹20,000",Full time  No test required  Freshers only
1533,Customer Care Executive,Baroda Rojgar,Gorwa,"₹12,500 - ₹17,000",Full time  No test required  Freshers only
1534,Shop Assistant,Dev Fashion Makers,Pimpri,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1535,International BPO Executive,Nona HR Services,Perungudi,"₹14,700 - ₹16,000",Full time  No test required  Freshers only
1536,Field Executive,Nested Services,Indore,"₹13,500 - ₹20,000",Full time  No test required  Freshers only
1537,Telesales Executive,Pattanavallil Traders,Vidhyaranyapura 1St Block,"₹13,000 - ₹26,000",Full time  No test required  Freshers only
1538,Picker / Packer,High Source HR Solutions Private Limited,Gol Building,"₹13,000 - ₹16,000",Night shift Full time  No test required  Freshers only
1539,Sales & Marketing Executive,Advanced Research & Testing Laboratory,Behala,"₹12,000 - ₹17,000",Full time  No test required  Freshers only
1540,Back Office Executive,Sollys Consulting and Solutions,Aliganj,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
1541,Telecaller Outbound,Card Expertise India Private Limited,Noida Sector 15,"₹12,000 - ₹18,000",Full time  No test required  Freshers only
1542,Housekeeping Staff,Prem Sudha Delight Services,Nirala Nagar,"₹8,000 - ₹16,000",Full time  No test required  Freshers only
1543,House Cleaner,Callathome Private Limited,Pul Prahladpur,"₹12,000 - ₹18,000",Full time  No test required  Freshers only
1544,Sales Executive,Bajaj Capital,New Naroda,"₹12,000 - ₹18,000",Full time  No test required  Freshers only
1545,Admin Assistant,Ieducation Charitable Trust,Aamrapali Circle,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1546,Data Collection Executive,Ediq Technologies,Varanasi (Work from home),"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1547,Customer Service Associate,Technotask Business Solutions Private Limited,Khursipar Bhilai,"₹11,000 - ₹16,000",Night shift Full time  No test required  Freshers only
1548,E Commerce Executive,Marktail,Gaur City 2,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1549,Software / Web Developer Intern,Ediq Technologies,Varanasi (Work from home),"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1550,Document Verification Executive (Office),Almamet Arrdy,NSEZ Noida,"₹12,000 - ₹18,000",Full time  No test required  Freshers only
1551,BPO Telecaller,Sollys Consulting and Solutions,Gomti Nagar,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
1552,House Cleaner,Callathome Private Limited,Pul Prahladpur,"₹12,000 - ₹18,000",Full time  No test required  Freshers only
1553,Sales Executive,Bajaj Capital,New Naroda,"₹12,000 - ₹18,000",Full time  No test required  Freshers only
1554,Housekeeping Staff,Prem Sudha Delight Services,Nirala Nagar,"₹8,000 - ₹16,000",Full time  No test required  Freshers only
1555,Data Collection Executive,Ediq Technologies,Varanasi (Work from home),"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1556,Customer Support Executive,Ebix Cash Global Services Pvt Ltd,Ghansoli,"₹14,000 - ₹76,000",Full time  No test required  Freshers only
1557,Customer Support Executive,Sunshine Manpower Solutions,Mani Majra chandigarh,"₹13,000 - ₹16,000",Full time  No test required  Freshers only
1558,Data Entry Operator,Almamet Arrdy,Malviya Nagar,"₹9,000 - ₹18,000",Full time  No test required  Freshers only
1559,Cafe Staff,Netambit Infosource Private Limited,"Ashok Nagar, Bangalore","₹13,000 - ₹16,000",Full time  No test required  Freshers only
1560,Telecalling Executive,Reblin Resorts & Hospitality,Basaveshwara Nagar,"₹12,000 - ₹18,000",Full time  No test required  Freshers only
1561,Telecaller,Chandrappa Nithin Kumar,Whitefield,"₹15,800 - ₹15,800",Full time  No test required  Freshers only
1562,Delivery Boy Biker,MCS,Ganeshguri,"₹14,000 - ₹15,600",Full time  No test required  Freshers only
1563,Trainee,Genius consultant ltd.,thigalara Palya,"₹13,500 - ₹15,500",Full time  No test required  Freshers only
1564,Data Entry Specialist,Big Tree Resource Management,Hero Honda Chowk Gurgaon,"₹15,000 - ₹15,500",Full time  No test required  Freshers only
1565,Customer Care Executive,Placeoryx Consultancy Llp,Pune (Work from home),"₹13,500 - ₹15,500",Full time  No test required  Freshers only
1566,Customer Care Executive,Ebix Cash Global Services Pvt Ltd,Ghansoli,"₹15,000 - ₹55,500",Full time  No test required  Freshers only
1567,Customer Care Executive,ISON Xperiences,Perungudi,"₹12,600 - ₹18,474",Full time  No test required  Freshers only
1568,Back Office Executive,Prime Services Pvt Ltd,Indian Card Company,"₹13,500 - ₹15,400",Part time  No test required  Freshers only
1569,Picker / Packer,High Source HR Solutions Private Limited,Musheerabad,"₹12,300 - ₹15,300",Night shift Full time  No test required  Freshers only
1570,Picker / Packer,High Source HR Solutions Private Limited,Wagholi,"₹12,300 - ₹15,300",Night shift Full time  No test required  Freshers only
1571,Field Delivery Executive,Kv Human Resources Services Private Limited,Bhagya Nagar Colony,"₹14,100 - ₹18,100",Full time  No test required  Freshers only
1572,Field Delivery Executive,Kv Human Resources Services Private Limited,Yousufguda,"₹14,100 - ₹18,100",Full time  No test required  Freshers only
1573,Telesales Executive,Suma Soft Pvt. Ltd.,Tech Mahindra,"₹10,000 - ₹20,000",Full time  No test required  Freshers only
1574,Business Development Executive (BDE),Voiptech Solutions,Infocity,"₹12,000 - ₹17,000",Full time  No test required  Freshers only
1575,Waiter / Steward,Netambit Infosource Private Limited,Kamani Oil Industries,"₹12,000 - ₹15,000",Full time  No test required  Freshers only
1576,Telecaller Outbound,Arh & Club Private Limited,Nala Sopara,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
1577,Purchase Assistant,Analogics Tech India Ltd,Nacharam,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1578,Sales & Marketing Executive,Abhi Marine,CBD Belapur East,"₹12,000 - ₹20,000",Full time  No test required  Freshers only
1579,Telesales Executive,Step to Stay Consultancy Services,Noida Sector 16,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1580,Consultant Trainee,Progressive Legal Services,Rakshlekha Society (Dattawadi),"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1581,Field Sales Executive,Sumaya World Technology,Bhankrota,"₹10,000 - ₹20,000",Full time  No test required  Freshers only
1582,Telesales Executive,Investiza Retail Private Limited,"Sector 3, Noida","₹12,000 - ₹20,000",Full time  No test required  Freshers only
1583,Continental Cook,Anutej Recreation and Resorts Pvt Ltd,Lullanagar,"₹12,000 - ₹15,000",Full time  No test required  Freshers only
1584,Telecaller Outbound,Rsights Research Llp,Vaishali Sector-1,"₹9,000 - ₹15,000",Full time  No test required  Freshers only
1585,Telesales Executive,Asps Dairy & Farms,NSEZ Noida,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1586,Business Development Executive,WaySpire EdTech,Aliya Bans Chowk Gurgaon,"₹10,000 - ₹25,000",Full time  No test required  Freshers only
1587,Food Delivery Boy,Rebel Foods,Pattom,"₹12,000 - ₹17,000",Full time  No test required  Freshers only
1588,Telecalling Executive,Aa Wealth Business Solutions,Janak Puri East,"₹10,000 - ₹16,000",Full time  No test required  Freshers only
1589,Civil Site Engineer,Seaway Exim,Madhavaram,"₹12,000 - ₹15,000",Full time  No test required  Freshers only
1590,Sales & Marketing Executive,Sukrthi Recruit,Gandhipuram,"₹12,000 - ₹18,000",Full time  No test required  Freshers only
1591,Field Service Engineer,Third Eye Technologies,Avaram Palayam Road,"₹15,000 - ₹20,000",Full time  No test required  Freshers only
1592,Business Development Executive (BDE),Accsus Management,Pratapnagar Area,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
1593,Digital Media Executive,Geekay Infotech,Ghansoli Naka,"₹12,000 - ₹15,000",Night shift Full time  No test required  Freshers only
1594,HR Recruiter,Altruist Technologies Pvt Ltd,Jagdamba Housing Society,"₹10,000 - ₹16,000",Full time  No test required  Freshers only
1595,HR Executive,Cosmique Consultants,Ghatkopar,"₹12,000 - ₹15,000",Full time  No test required  Freshers only
1596,Sales and Marketing Executive,Avan Realtech Private Limited,Faridabad,"₹10,000 - ₹35,000",Full time  No test required  Freshers only
1597,AR Trainee,Epicle Solutions Private Limited,Nandambakkam,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
1598,Telecaller,Dynamic Enterprises,Jogeshwari (w,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
1599,Credit Card Sales Executive,Mass Intellectual Services Private Limited,Dwarka Mor,"₹8,000 - ₹15,000",Full time  No test required  Freshers only
1600,Business Development Executive (BDE),Satya Kabir E-Solutions Private Limited,Raisen Road,"₹8,000 - ₹17,000",Full time  No test required  Freshers only
1601,Social Media Executive,Vinkx,Netaji Subash Place,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
1602,Telecalling Executive,Sm Matrimony,Dombivali East,"₹8,000 - ₹25,000",Full time  No test required  Freshers only
1603,Education Counsellor,Dr Rajendra Prasad Educational Center,Uttam Nagar West,"₹12,000 - ₹20,000",Full time  No test required  Freshers only
1604,Telecaller,Altruist Technologies Pvt Ltd,Jagdamba Housing Society,"₹10,000 - ₹30,000",Full time  No test required  Freshers only
1605,Business Development Executive (BDE),Voiptech Solutions,Infocity,"₹12,000 - ₹17,000",Full time  No test required  Freshers only
1606,Telesales Executive,Suma Soft Pvt. Ltd.,Tech Mahindra,"₹10,000 - ₹20,000",Full time  No test required  Freshers only
1607,Telecaller,Shree Shyam Finserv,C-Scheme,"₹8,000 - ₹25,000",Full time  No test required  Freshers only
1608,Office Coordinator,Sanbook Quality Management Private Limited,Ballabhgarh,"₹8,000 - ₹15,000",Full time  No test required  Freshers only
1609,Telesales Executive,Illuminate Services,Koramangala 80Ft Road,"₹10,000 - ₹25,000",Night shift Full time  No test required  Freshers only
1610,Telecaller,BRM Training and Recruitment Solutions,Rajaji Nagar 1St Block,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1611,Back Office Staff,Ask Realty,Prahlad Nagar,"₹10,000 - ₹25,000",Full time  No test required  Freshers only
1612,PHP Developer,Matrid Technologies,Sector 82 mohali,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1613,Staff Nurse,Natural Hair and Care Clinic,Annabhau Sathe Shala,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1614,Telesales Executive,Cateye Consultancy Services,Laxmi Nagar,"₹12,000 - ₹17,000",Full time  No test required  Freshers only
1615,ATM Custodian,Cms Info Systems Limited,Bank Colony,"₹14,000 - ₹15,000",Full time  No test required  Freshers only
1616,Electrical Maintenance Engineer,RP Infra Services,Kattuputhur,"₹10,000 - ₹15,000",Night shift Full time  No test required  Freshers only
1617,Account Assistant,Consultsure Management Services,Irani Wadi - Ramdev Ashram,"₹6,000 - ₹15,000",Full time  No test required  Freshers only
1618,ATM Custodian,Cms Info Systems Limited,Bank Colony,"₹14,000 - ₹15,000",Full time  No test required  Freshers only
1619,Electrical Maintenance Engineer,RP Infra Services,Kattuputhur,"₹10,000 - ₹15,000",Night shift Full time  No test required  Freshers only
1620,Telesales Executive,Cateye Consultancy Services,Laxmi Nagar,"₹12,000 - ₹17,000",Full time  No test required  Freshers only
1621,Electrician,Trinity Technologies and Software Solutions,Dharwad City,"₹8,000 - ₹15,000",Full time  No test required  Freshers only
1622,Field Sales Executive,Afc Consulting,Janta Colony,"₹13,000 - ₹15,000",Full time  No test required  Freshers only
1623,Software Developer,Prideasy Technologies,Dahisar East,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1624,Telecalling Executive,Qualium Websolutions,Chowringhee,"₹8,000 - ₹18,000",Full time  No test required  Freshers only
1625,Staff Nurse,Natural Hair and Care Clinic,Annabhau Sathe Shala,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1626,Cutting List Maker,Kadamba Enterprises,Upkar Residency Layout,"₹12,000 - ₹15,000",Full time  No test required  Freshers only
1627,Telecaller,Creneed Services Private Limited,Thane West,"₹8,000 - ₹65,000",Full time  No test required  Freshers only
1628,Customer Care Executive,Insight Customer Call Solutions,Noida Sector 62,"₹10,000 - ₹15,000",Night shift Full time  No test required  Freshers only
1629,Delivery Boy,Big MeatMart,Marathahalli,"₹12,000 - ₹15,000",Full time  No test required  Freshers only
1630,Business Development Manager (BDM),Talking Crooks It Private Limited,Kidwai Nagar,"₹8,000 - ₹21,000",Full time  No test required  Freshers only
1631,Client Relationship Executive,Bank Zone,Water Tank Raggigudda,"₹13,000 - ₹20,000",Full time  No test required  Freshers only
1632,Telecalling Executive,One Touch Digital Solution,Vaishali,"₹12,000 - ₹20,000",Full time  No test required  Freshers only
1633,Content Writer,Kyoto Enviro Tech,Baoli Sahib Gurudwara chandigarh,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1634,Telecaller,Air Cool Service Center,Kalyan East,"₹9,000 - ₹18,000",Full time  No test required  Freshers only
1635,Accountant Cum Office Assistant,Himanshu Sales Corporation,Old Padra Road,"₹9,000 - ₹20,000",Full time  No test required  Freshers only
1636,Delivery Boy,Solutions Facility Services,Shakar Bhawan,"₹12,000 - ₹17,000",Full time  No test required  Freshers only
1637,Business Development Manager (BDM),Talking Crooks It Private Limited,Kidwai Nagar,"₹8,000 - ₹21,000",Full time  No test required  Freshers only
1638,Gym Trainer,Foodvolly,Gokulpeth,"₹8,000 - ₹15,000",Full time  No test required  Freshers only
1639,Field Sales Executive,Aadiraaj Sales and Services,Manaji Nagar,"₹13,000 - ₹19,000",Full time  No test required  Freshers only
1640,Customer Relationship Management,GPS Pariwar Services,Borivali East,"₹10,000 - ₹20,000",Full time  No test required  Freshers only
1641,Field Sales Executive,Parkonix Autopark Systems,Salwad,"₹8,000 - ₹25,000",Full time  No test required  Freshers only
1642,Service Engineer,Hi-Tech Equipments,Railway Station Road,"₹12,000 - ₹17,000",Full time  No test required  Freshers only
1643,Telecaller,Profitmart Securities Pvt Ltd,Jayanagara 3rd Block,"₹11,000 - ₹21,000",Full time  No test required  Freshers only
1644,Telecaller,AT Finserv,Kodambakkam,"₹13,000 - ₹30,000",Full time  No test required  Freshers only
1645,Field Marketing Manager,MFSL India Online,Kamalakar Chowk,"₹14,000 - ₹19,000",Full time  No test required  Freshers only
1646,Telecaller,MART VISA CONSULTANCY,Sector 34A chandigarh,"₹12,000 - ₹18,000",Full time  No test required  Freshers only
1647,Business Development Executive (BDE),Prefix Solutions Llp,Siemens,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1648,Telecaller,Illuminate Services,Koramangala 80Ft Road,"₹10,000 - ₹25,000",Night shift Full time  No test required  Freshers only
1649,Field Engineer,Castellar,"Ashok Nagar, Bangalore","₹10,000 - ₹15,000",Full time  No test required  Freshers only
1650,Relationship Officer,Ray Prime Wealth Private Limited,Adambakkam,"₹12,000 - ₹17,000",Full time  No test required  Freshers only
1651,Site Engineer,Global Technology,Pimpri,"₹12,000 - ₹16,000",Full time  No test required  Freshers only
1652,Retail Sales Executive,Orion Edutech Private Limited,Juripar Path,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1653,Business Development Associate,Edugorilla Community Pvt Ltd,Indiranagar,"₹15,000 - ₹21,000",Full time  No test required  Freshers only
1654,Customer Sales Executive,Efos Edumarketers Private Limited,Lawrance Road Power  House,"₹15,000 - ₹15,000",Full time  No test required  Freshers only
